author,rating,comment,date,sentiment
Anshul Agrawal,2.0,food good expected menu many option,6 years ago,positive
Debraj Purkayastha,4.0,crowded last visit though heard quite good placeto hangout friend family looking forward next visit,7 years ago,positive
Shoma Sengupta,4.0,liked place ambience one star le price higher side,4 years ago,positive
todd christian,5.0,excellent pizza great crust food service atmosphere food service atmosphere,8 months ago,positive
atul mishra,4.0,good place bit overcrowded service slow,2 years ago,positive
Kalpita Garia,5.0,best spot good food food service atmosphere food service atmosphere,7 months ago,positive
dadasaheb gopinath,5.0,nice service tasty food,7 months ago,positive
Sanu Biswas,1.0,recomend high profile restaurnt normal people ca affors,4 years ago,neutral
Arijit Ghose,4.0,loved music food meal quite filling satisfying,4 years ago,positive
Nikkhil Singhi,4.0,casual great pizza place always fun go,5 years ago,positive
Ravi Goel,1.0,guard allow lady go washroom,a year ago,positive
Ashish AKS,3.0,awesome food quite expensive ambience awesome,4 years ago,positive
sharad jain,5.0,good ambience great food well stocked bar,5 years ago,positive
Ritesh Saha,5.0,one word describe place good mood,2 years ago,positive
Telugu Facts (True Facts),5.0,good food service atmosphere food service atmosphere,2 months ago,positive
Ruma Majumdar,4.0,want italian food must place,2 years ago,positive
Upendra Das,5.0,best pizza town bit pricey side,3 years ago,positive
Alap Ukil,1.0,unethical locale around central kolkata,a year ago,negative
SWATI AGRAWAL,4.0,tasty n yummy food worth going thr,a year ago,positive
Amit Sahai,5.0,absolutely world standard pizza fantastic quality service,3 years ago,positive
Seema Jain,5.0,amazing environment awesome food lovely service,6 years ago,positive
Sanjay Mimani,4.0,awesome food choice beer available,4 years ago,positive
Supriyo Achariya,5.0,one best experience food service atmosphere recommended dish pizza india food service atmosphere recommended dish pizza india,6 months ago,positive
Anirban Dhar,4.0,authentic thin crust pizza flavor,3 years ago,neutral
Hemant Kolate,5.0,beautiful place,5 months ago,positive
Amrita Howlader,5.0,best pizza town good although slightly expensive,5 years ago,positive
Ritesh Kumar,1.0,costlier seems nd value money outstanding variety food,5 years ago,positive
Francesco Bonacia,4.0,good italian food excellent table service,6 years ago,positive
Archit Tantia,4.0,good food service could better,6 years ago,positive
Aditya singh,5.0,awesome place dine,7 months ago,positive
Asit Saha,4.0,best place kolkata enjoy thin crust pizza italian delicacy,5 years ago,positive
Shishir Sourabh,5.0,awesome pizza name pollo think crispy crust great service,5 years ago,positive
sandeepkumar velagapalli,5.0,delicious italian food food service atmosphere food service atmosphere,7 months ago,positive
NEO ONLINE,4.0,best place italian pizza,7 months ago,positive
suvankar ghosh,4.0,nice ambience food quality good,4 years ago,positive
Sayani Bhattacharya,4.0,ambience wonderful food okay price overrated,4 years ago,positive
Chinmaya Nathany,5.0,amazing food slightly overpriced average ambience,9 years ago,positive
Jayant Tolambe,5.0,food really tasty food service atmosphere food service atmosphere,7 months ago,neutral
ishan biswal,5.0,liitle pinch pocket serf good variety pizza continental food,6 years ago,positive
mithun premraj,2.0,overpriced pizza great,10 months ago,positive
Anjan Sarkar,5.0,great place italian food lively ambience,2 years ago,positive
Govind Narayan,3.0,great collection wine combined good italian food,3 years ago,positive
Karuna Chandaliya,3.0,nice place want visit,7 months ago,positive
Aaryan Parida,5.0,good food,7 months ago,positive
Sameena Begum mulla,4.0,good,7 months ago,positive
Zubair Khan,5.0,good food,7 months ago,positive
Avinash bonthu,5.0,good food service atmosphere food service atmosphere,7 months ago,positive
sindhuja bhupathi,5.0,best food food service atmosphere food service atmosphere,7 months ago,positive
Manohar Kumar,5.0,nice food food service atmosphere food service atmosphere,7 months ago,positive
Abbas Sk,5.0,good food service atmosphere food service atmosphere,7 months ago,positive
md nazish alam,3.0,nice one food service atmosphere food service atmosphere,7 months ago,positive
Manju Sethia,5.0,superb food service atmosphere recommended dish antipasti bruschetta al pomodoro rondelle di potate fritte funghi pizza pesto food service atmosphere recommended dish antipasti bruschetta al pomodoro rondelle di potate fritte funghi pizza pesto,3 months ago,positive
Nilesh Lodha,4.0,great pizza great location good ambience,4 years ago,positive
Nikhil Aher,5.0,good,7 months ago,positive
Narayan Thorat,4.0,good,7 months ago,positive
Sanjay M,5.0,good,7 months ago,positive
Seenu Sharma,4.0,good,7 months ago,positive
Ajith Kumar,5.0,nice,7 months ago,positive
Soumitra Deb,5.0,best authentic pizzeria town,a year ago,positive
Dr A J,3.0,service ambience good food great,3 years ago,positive
moiz chunawala,4.0,one favourite place authentic italian pizza,6 years ago,neutral
Rushd Mowjee,4.0,great italian one city best italian restaurant,5 years ago,positive
Anandi Mukherjee,5.0,best pizzeria city great food,3 years ago,positive
Bhaskar Chakraborty,2.0,popular food available price high,3 years ago,positive
Arnab Banerjee,1.0,costly one plate potato fried chip r le option food,5 years ago,negative
Amit Aggarwal,2.0,poor pizza decent dessert overpriced,11 months ago,negative
Aniket Kislay,5.0,conventional pizzeria great pasta quiet ambiance drink one cool,4 years ago,positive
Sadhna Bhatia,5.0,excellent experience yummy food good ambiance,4 years ago,positive
Arijit Kayal,5.0,loved brand pizza food service atmosphere food service atmosphere,8 months ago,positive
Dilip Chopde,5.0,nice experience,2 months ago,positive
Sanketh RB,5.0,wonderful food service atmosphere food service atmosphere,4 months ago,positive
navjot singh,5.0,good food service atmosphere food service atmosphere,4 months ago,positive
INDRA NARENDRA,5.0,nice place nice staff food service atmosphere food service atmosphere,7 months ago,positive
Varnika Chabria,4.0,ambience family friendly food really good,6 years ago,positive
Krish Ajmera,5.0,great quality italian since opened got ta liit,4 years ago,positive
Aparup Das,5.0,one better pizzeria kolkata delivering authentic taste,3 years ago,positive
amit jha,5.0,must visit place pizza pasta amazing tiramisu,4 years ago,positive
Uddipan Dutta,4.0,today se late lunch son good food cheer,6 years ago,positive
Suchira Sengupta,3.0,three star hospitality ambience,a year ago,neutral
Poonam Saha,4.0,food good enough loved ambience,5 years ago,positive
ASHISH KUMAR CHOWDHURY,5.0,good food well behaved staff,3 years ago,positive
Pavankrvs,5.0,nice place go family food service atmosphere food service atmosphere,7 months ago,positive
Partha Kes,3.0,priced food great ambiance service,4 years ago,positive
Kamalesh Yadav,5.0,good food service atmosphere food service atmosphere,4 months ago,positive
iftekhar shaikh,5.0,outstanding quality food,7 months ago,positive
Shubham Rastogi,5.0,awesome,4 months ago,positive
Vikas Patil,4.0,good always visit food service atmosphere food service atmosphere,7 months ago,positive
Flowrence PRASANTH,5.0,nice,5 months ago,positive
Ashwani Stevens,4.0,good food nice place catch friend,6 years ago,positive
Ashutosh Dubey,5.0,best experience,3 months ago,positive
Waseem,4.0,best place italian food,7 months ago,positive
182 Rohan Nandy,5.0,food amazing food service atmosphere food service atmosphere,9 months ago,positive
sunil garg,4.0,great food though price higher side,6 years ago,positive
Nischay Mall,5.0,place calcutta serf authentic italian cuisine,6 years ago,neutral
Sourav Poddar,5.0,awesome place lovely italian food,4 years ago,positive
Ratan Postwalla,4.0,good food buzzing atmosphere efficient service,5 years ago,positive
Dr. Alan James,5.0,amazing place visit though bit expensive worth penny,3 years ago,positive
Shreya Marie Banerjee,5.0,excellent thin crust pizza hawaiian pizza pepperoni especially tasty,3 years ago,positive
RUDRANEEL RAY,5.0,pizza nice crispy ambience good,4 years ago,positive
Paritosh Shaw,4.0,costly need lot money visit place,3 years ago,negative
Vinnay Dalmia,5.0,always best italian food,a year ago,positive
Manjit Kumar Das,5.0,serve best italian food kolkata,2 years ago,positive
Iron addict YBLWB,5.0,best place ever food service atmosphere food service atmosphere,4 months ago,positive
Hirak Dasgupta,3.0,great experience went year super pepperoni pizza,7 years ago,positive
Vineet Kedia,5.0,amazing italian food paregena pizza lit must,5 years ago,positive
Kiran Bhalerao,4.0,nice test atmosphere food service atmosphere food service atmosphere,7 months ago,positive
Basantika Ghosh,5.0,absolutely fantastic place taste italian dish,4 years ago,positive
Abhishek Roy,3.0,food upto expectation compared price point food served,5 years ago,neutral
Pradeep Parik,5.0,good italian food great service,6 years ago,positive
Suvendu Dey,4.0,one best place authentic italian cuisine,5 years ago,positive
Hasan shareef Mohd,5.0,nice place food,7 months ago,positive
Shazia Sabir,1.0,really wish go dt place jst bcoz thy serve cnt go,3 years ago,positive
Fazal Ahmed,5.0,food excellent n service excellent love fire n ice,9 years ago,positive
Prince Yadav,5.0,nice place great food drink peace everyone,5 years ago,positive
Navendu Lad,2.0,pizza good waiter forgot antipasto,4 years ago,positive
VIVEK CHHIBBER,3.0,fine good,a year ago,positive
Aryan Dhanuka,5.0,oh man fungi pizza nad pesto spegetii must,6 years ago,neutral
Kalpana Singh,5.0,awsome place kolkata maidan metro near,4 years ago,neutral
Subha Gupta,2.0,please offer vegan food everything vegetarian made vegan,3 years ago,positive
Bala raju,5.0,good super food service atmosphere food service atmosphere,7 months ago,positive
Arvind Jhunjhunwala,1.0,overpriced stingy drinking water value money charge,5 years ago,negative
Basant Sharma,5.0,awesome food service food service food service,7 months ago,positive
Arka Roy Chowdhury,5.0,good food nice ambience,2 years ago,positive
Laurige Boyer,5.0,definitely best italian restaurant town,2 years ago,positive
Priyanka Pal,2.0,ordered pizza tasty,2 years ago,neutral
Payel Mukherjee,5.0,wish list month tried two item go,3 years ago,positive
M C,4.0,innovative pizza idea good variety food,7 years ago,positive
Jollies10,1.0,worst food ever price high,4 years ago,negative
Ashish Agarwal,4.0,nice look food yummy,5 years ago,positive
Abhishek Halder,5.0,amazing always,a year ago,positive
Prabir Kumar Chatterjee,3.0,ideal place enrich taste bud italian test,4 years ago,positive
shashank chauhan,5.0,great place hangout,7 months ago,positive
shreya G.M,4.0,great place hangout,7 months ago,positive
Stephen Lawrence,5.0,great pizza fresh salad clean environment,5 years ago,positive
Abhishek Sinha,5.0,lovely food loved yummy pizza,4 years ago,positive
Mouni Mounika,5.0,tasty food food service atmosphere food service atmosphere,7 months ago,neutral
Jay Ram Chaudhary,5.0,food service amazing food service atmosphere food service atmosphere,7 months ago,positive
abhishek bose,5.0,excelent pizza pasta drink huge place,3 years ago,positive
141 Neha Khatkar,5.0,awesome place food service atmosphere recommended dish chocolate mousse pesto bacon pizza pollo pizza pizza napolitana food service atmosphere recommended dish chocolate mousse pesto bacon pizza pollo pizza pizza napolitana,2 months ago,positive
Abhilash Das,5.0,good food pretty expensive,6 years ago,positive
Fazal Mirza,5.0,best quality food service atmosphere food service atmosphere,5 months ago,positive
Pallavi Jalan,5.0,best place amazing authentic italian kolkata,5 years ago,positive
Sanjeev Shriya,4.0,great food great vibe place go,4 years ago,positive
Vaishali Trivedi,5.0,best pizza town little expensive side,5 years ago,positive
Subiraj Shetty,5.0,authentic tasty pizza,2 years ago,neutral
Nanu Gelda,5.0,one best place italian food kolkata,6 years ago,positive
SUNNYSMATION,4.0,good expensive pizza lover,2 years ago,positive
arpita Pande,5.0,best pizza place ever try polo pizza,5 years ago,positive
Chetan Agarwal,5.0,love place pizza omg love,9 years ago,positive
Manish Saraf,5.0,v good,11 months ago,positive
Kamalkumar Bhanja,5.0,excellent food reasonable price,3 years ago,positive
Rohit Dugar,5.0,lovely food good ambience,6 years ago,positive
Umesh Singh,5.0,everything owsm food service atmosphere food service atmosphere,5 months ago,neutral
Anindita Deb Sarkar,5.0,spread ambience service everything still remains par,4 years ago,neutral
         ,1.0,higher price great food,4 years ago,positive
Piyali Pal,5.0,awesome best italian food kolkata,4 years ago,positive
Ramesh Ruia,4.0,cool place beer pizza overpriced,5 years ago,positive
Ashwani More,2.0,service poor food quality getting detroaiting,4 years ago,negative
aditya rajmane,5.0,nice place food service atmosphere food service atmosphere,7 months ago,positive
Sanchari Roy Chowdhury,5.0,clay oven baked pizza perfect ambience quite conversation,4 years ago,positive
Mom Ganguly,3.0,reasonably good food expensive,5 years ago,positive
Arijit Paul,4.0,good italian food great wine,6 years ago,positive
Soubhik Dutta,5.0,good location bit pricey,5 years ago,positive
arvind malakar,5.0,omg love pizza sweety also funnnn,8 years ago,positive
Gurpreet Gill,5.0,great place authentic italian pizza,5 years ago,positive
Sahana Maz Agarwal,5.0,thin crust pizza place best town,5 years ago,positive
Sudarsan Mandal,5.0,good experience food service atmosphere food service atmosphere,6 months ago,positive
Loy Lobo,5.0,great italian heart kolkata,a year ago,positive
Chelikani Santosh Kumar,4.0,must try,7 months ago,neutral
suchanda chowdhury,5.0,best aglio olio bacon topping ever,5 years ago,positive
A     A    ,5.0,awesome place food service atmosphere food service atmosphere,5 months ago,positive
Ashwani Kumar,4.0,nice place visit food service atmosphere food service atmosphere,7 months ago,positive
Minakshi Kauntia,5.0,food delicious food service atmosphere food service atmosphere,7 months ago,positive
Vishal tiwari,1.0,place good reach family middle class,4 years ago,positive
Hrittik,5.0,nice place visit,7 months ago,positive
Asmita Roy,3.0,food good ac cold,5 years ago,positive
Deepanshu chourasiya,5.0,one best,5 months ago,positive
Akashdeep Basu,4.0,nice place hand pizza good,5 years ago,positive
Sumant Goenka,4.0,enjoyed everytime dine,6 years ago,positive
Kaushik Agarwal,3.0,okayish food justify hype built around,4 years ago,neutral
Babul Bhatt,5.0,great food equally good ambience,4 years ago,positive
Sahana Maz,5.0,brilliant food service excellent,5 years ago,positive
Aravind K,5.0,probably best pizza park street area,4 years ago,positive
Vaibhav Sethia,5.0,time favourite italian mexican resto bar,6 years ago,neutral
Mousumi Banerjee,5.0,excellent environment food awesome,4 years ago,positive
Harsh agarwal,5.0,one oldest place italian food,5 years ago,neutral
chandan thakur,5.0,best place eat pizza food service atmosphere food service atmosphere,7 months ago,positive
Prince Saloon,5.0,superb place authentic italian food,4 years ago,positive
Emma Alderuccio,2.0,expensive food okay,4 years ago,positive
Marjit Singh,4.0,good italian food food service atmosphere food service atmosphere,7 months ago,positive
prasun kumar basu,3.0,good restaurant tasty pizza,6 years ago,positive
Ayan Chatterjee,5.0,great food food service atmosphere food service atmosphere,7 months ago,positive
sayantani ghosh,5.0,loved food service atmosphere food service atmosphere,5 months ago,positive
miraj shah,5.0,best thin crust pizza kolkata,4 years ago,positive
Nadir Shah,5.0,one finest italian restaurant kolkata,2 years ago,neutral
Mridul Pandey,5.0,good place food service atmosphere food service atmosphere,4 months ago,positive
Parna Basu,5.0,best italian food ever food service atmosphere food service atmosphere,a year ago,positive
Alok Misra,5.0,second best pizza kolkata best restaurant,4 years ago,positive
Santhosh Reddy,5.0,best place outing food service atmosphere food service atmosphere,7 months ago,positive
Sanjay Kumar Poddar,5.0,one best italian town,6 years ago,positive
Shirisha Reddy,5.0,excellent hotel food service atmosphere food service atmosphere,7 months ago,positive
Neelam Yadav,5.0,wow nice one,7 months ago,positive
Shivam Yadav,5.0,best pizza place food service atmosphere food service atmosphere,7 months ago,positive
Ruby Tripathi,4.0,famous italian food,7 months ago,neutral
Pushan Mukherjee,5.0,one better wood fired pizza place,5 years ago,negative
DivyaLakshmi S,5.0,nice place,2 months ago,positive
Damanjit Chohan,3.0,excellent food priced,4 years ago,positive
Francois Stadtmann,4.0,ceap place good food,5 years ago,positive
Anant Saraf,4.0,best place italian food kolkata,4 years ago,positive
Shailendra Dubey,4.0,costly good food,2 years ago,positive
Rashmi Mohata,4.0,expensive good food,4 years ago,positive
Nav Singhi,5.0,one best place italian food,a year ago,positive
Ritesh P,3.0,average food great used earlier,4 years ago,positive
Alok Raj,5.0,food service atmosphere food service atmosphere,4 months ago,neutral
Lalit Kapoor,4.0,nice italian food relaxed quiet aura,6 years ago,positive
Bishnu Pada Das,4.0,original italian restaurant premium taste,5 years ago,positive
Suchismita Ghosh,5.0,clean testty awesome food,5 years ago,positive
Arora D.P. Electronics,3.0,pizza cheesy enough despite asking extra cheese,6 years ago,neutral
Jay Shah,3.0,good place pizza food service atmosphere food service atmosphere,7 months ago,positive
Naveen Dase,3.0,good,7 months ago,positive
abinash shankar,4.0,good unlimited pizza craving,5 years ago,positive
Samarpita Lahiri Ghosh,5.0,good pizza every single time,4 years ago,positive
Sunil Gandhi,4.0,good place authentic italian food,5 years ago,positive
phani yedulapally,5.0,good ambience,7 months ago,positive
Namita Halalyr7hyeyyryye u27ewu,5.0,loved always taste,4 years ago,positive
Pranab Chowdhury,5.0,mah office nearby every saturday hang,4 years ago,neutral
Anirudh Kajaria,5.0,close cousin authentic italian cuisine,6 years ago,neutral
Nikita Bidve,5.0,nice,7 months ago,positive
Nidhi Parimoo,5.0,delicious pizza food service atmosphere food service atmosphere,3 months ago,positive
kishore das,4.0,tasty pizza awesome italian cuisine,7 years ago,positive
Assk Gboy,5.0,overall good food service atmosphere food service atmosphere,7 months ago,positive
sugato dutt,3.0,food good service patchy,4 years ago,positive
KONDALA MUKESH (MUKKY),4.0,good place real italian taste,3 years ago,positive
Mohammad Wasi,5.0,great atmosphere food service atmosphere food service atmosphere,7 months ago,positive
SASIKUMAR SANGAPILLAI,5.0,quality ambience,7 months ago,neutral
Abhijit Ray,5.0,outstanding italian food,10 months ago,positive
abhilash mohan,2.0,good explore,7 months ago,positive
rajesh borkar,5.0,superb tast safe p lace,7 months ago,positive
moin subair,5.0,variety option point light pocket though,3 years ago,neutral
Aniket Chaudhuri,4.0,pizza really good lot option,5 years ago,positive
Toopsi Ray,3.0,pizza delicious dessert rubbish,3 years ago,positive
Priti Nirgude,5.0,loved taste food service atmosphere food service atmosphere,7 months ago,positive
Prateek Sancheti,5.0,great ambience great food,4 years ago,positive
Abaneeta Chakraborty,5.0,try indian version pizza rocking,5 years ago,neutral
Sanjay Sawhney,5.0,excellent food italian expensive,7 years ago,positive
Divyah Chandgothia,5.0,best pizza city,2 years ago,positive
Avuku sireesha,4.0,good food service atmosphere food service atmosphere,7 months ago,positive
Somnath Khote,5.0,best,7 months ago,positive
ALL KIND OF STUFF,5.0,good,7 months ago,positive
Swayam Das,4.0,amazing ambience food service atmosphere parking space somewhat difficult find parking food service atmosphere parking space somewhat difficult find parking,8 months ago,positive
Muhammed Afsal,5.0,nice food service atmosphere food service atmosphere,7 months ago,positive
s m,4.0,awesome food service atmosphere food service atmosphere,7 months ago,positive
R.ARUL VEGNESH ARUL EEE,5.0,good food service atmosphere food service atmosphere,7 months ago,positive
satishsb bubali,5.0,good food service atmosphere food service atmosphere,7 months ago,positive
Sai Rakesh,5.0,excellent food service atmosphere food service atmosphere,7 months ago,positive
Pradeep Kumar,4.0,good food service atmosphere food service atmosphere,7 months ago,positive
Shubham Jain,5.0,awesome food service atmosphere food service atmosphere,7 months ago,positive
Yog Girase,5.0,superb food service atmosphere food service atmosphere,7 months ago,positive
Barun Agarwal,5.0,nice food cool ambience,4 years ago,positive
Yash Kapoor,5.0,good service service,7 months ago,positive
Suresh Kilari,5.0,nice,7 months ago,positive
Gopal Ranjan,5.0,good,7 months ago,positive
VIJAY DHANGAR,5.0,good,7 months ago,positive
Jagdish Nagar,5.0,good,7 months ago,positive
Krishna Mohan,5.0,nice,7 months ago,positive
Shubhasis Rath,5.0,awesome,7 months ago,positive
Kranthi Dupaki,5.0,excellent,7 months ago,positive
Divya Chinnu,5.0,good,7 months ago,positive
Naveed Mohammad,5.0,good,7 months ago,positive
sumit shinde,5.0,good,7 months ago,positive
Nur Hasan Mallick,5.0,good,7 months ago,positive
pratap kumar,5.0,nice,7 months ago,positive
Abhishek Sharma,1.0,expensive worthy food,5 years ago,positive
John McMullan,4.0,good food interesting decor,5 years ago,positive
Abhishek Das,5.0,star added possible,4 years ago,neutral
Debojit Ghosh,5.0,great italian authentic cuisine,2 years ago,positive
sacha cohen,5.0,awesome food service atmosphere food service atmosphere,7 months ago,positive
PRASHANT@ KCGR,5.0,excellent food creative ambiance food service atmosphere recommended dish food service atmosphere recommended dish,9 months ago,positive
debopriyo sanyal,5.0,fantastic food particularly pizza apple pie,4 years ago,positive
Pri tam,5.0,good place hangout family,4 years ago,positive
Pratyaksh Kapoor,5.0,food good reasonable,5 years ago,positive
Sanjiban Panchali,5.0,great food awsome,10 years ago,positive
Abhash Seksaria,4.0,good food nice service,a year ago,positive
Raj Anand,5.0,great ambiance great food,5 years ago,positive
Am Sc,5.0,best pasta west bengal possibly india,5 years ago,positive
Amit Sangal,3.0,nice food food service atmosphere food service atmosphere,7 months ago,positive
Manoj Bothra,5.0,good service good food,4 years ago,positive
Ghanshyam Kedia,5.0,ambience food good,8 years ago,positive
Sayan Roy Sarkar,4.0,average place italian dish,4 years ago,neutral
DEVASHISH GHOSH,5.0,wonderful place chilling friend,3 years ago,positive
Souparno Mitra,5.0,best italian food kolkata,6 years ago,positive
Ravindra Chaubey,5.0,beautiful restaurant,5 years ago,positive
Suchismita Sahu,5.0,love italian food available,6 years ago,positive
Christophe Plais,5.0,absolute best pizza india,3 years ago,positive
Pritish Shah,4.0,italian food fire ice,6 years ago,negative
Sanjay Rout,3.0,best italian restaurant kolkata,6 years ago,positive
Sonushree Bhargava,5.0,good food always,a year ago,positive
Ali Khaan,5.0,suitable couple,6 years ago,neutral
Shailesh Bhatt,5.0,truly authentic must experience,5 years ago,positive
Shreya Nath,5.0,great food ambience,4 years ago,positive
Amit Kandhari,5.0,best authentic italian kolkata,5 years ago,positive
raj bhargav,4.0,great place family n friend,3 years ago,positive
Rishabh Jain,5.0,awesome food best italian,3 years ago,positive
Tonmoy mukherjee,4.0,good place food service atmosphere recommended dish pesto bacon pizza food service atmosphere recommended dish pesto bacon pizza,6 months ago,positive
Loki Bima,5.0,really yummy,7 months ago,positive
Nitin Rungta,5.0,authentic pizza must visit,4 years ago,neutral
jay soni,4.0,good experience good ambience,4 years ago,positive
Ankit Patni,5.0,best italian town since forever,2 years ago,positive
Hemant Chandak,4.0,nice place expensive,6 years ago,positive
Ritu Agarwal,4.0,good place friend outing,4 years ago,positive
Azharuddin Dxi,5.0,cool place,7 months ago,positive
Ankur Ganeriwala,5.0,pizza alcohol great option bit expensive,6 years ago,positive
gautam chatterjee,2.0,nice good family group,4 years ago,positive
Allan bhaju,5.0,good place italian food,4 years ago,positive
Ajay L,3.0,food italian place much option,4 years ago,neutral
Sayantan Mukherjee,3.0,good food costly,4 years ago,positive
Rakesh Bothra,4.0,good food good service,3 years ago,positive
Swarna Jana,5.0,authentic italian easy going environment,5 years ago,positive
Sujay Sardar,5.0,awesome place italian dish,6 years ago,positive
Subir Kolay,5.0,good,a year ago,positive
Dr. Ranjan Mukherjee,4.0,loved food pizza pasta,4 years ago,positive
Sam D'souza,1.0,rank bad terrible,5 years ago,negative
Dipankar Majumdar,4.0,one landmark restaurant park street area,7 years ago,positive
madhu garg,5.0,one best pizza town,5 years ago,positive
Sushanta Kumar Biswas,5.0,food quality good,6 years ago,positive
Pulak Murarka,5.0,excellent authentic food,3 years ago,positive
Archana Desai,5.0,love food ambience,6 years ago,positive
Vivek Suraiya,4.0,excellent pizza italian food,6 years ago,positive
Biswajoy Ghosh,4.0,great pizza bit expensive,5 years ago,positive
Niraj Bengani,4.0,must go italian food lover,4 years ago,positive
ankit mishra,5.0,beautiful place,7 months ago,positive
Arpan Dutta Chowdhury,5.0,bengal pizza worth try,5 years ago,positive
Vishal Arora,5.0,chill ambience food service atmosphere food service atmosphere,7 months ago,neutral
Subhankar Sau,5.0,recommended pizza lover,2 years ago,positive
ria basu,5.0,super wow food ambience,3 years ago,positive
Abhyuday Beriwala,5.0,wonderful food resturent,2 years ago,positive
Keshav Jajodia,4.0,awesome pizza bit expensive,6 years ago,positive
Rohit jajodia,5.0,nice place pizza pasta,a year ago,positive
MAHENDRA MITRA,5.0,good ambiance,4 years ago,positive
Nilesh Patodia,5.0,best pizzeria kolkata,6 years ago,positive
Raju Tuladhar,5.0,best authentic italian,a year ago,positive
Akshay N,4.0,nice place food service atmosphere food service atmosphere,7 months ago,positive
Shrey Garg,5.0,best focaccia town,3 years ago,positive
Neha Chaudhuri,5.0,awesome diner city,6 years ago,positive
Anirudh Nandy,3.0,worth cost,a year ago,positive
Saqib khan,5.0,excellent food service,3 years ago,positive
Jitendra Singh,5.0,good place food service atmosphere food service atmosphere,7 months ago,positive
rekha kv,5.0,good place food service atmosphere food service atmosphere,7 months ago,positive
Manish Fomra,5.0,lovely place italian food,2 years ago,positive
Manan Bhanushali,5.0,amazing veg pizza,a year ago,positive
chhavi dhir,2.0,great place,7 months ago,positive
Laxmi kant bhattacharya,5.0,best place food service atmosphere food service atmosphere,7 months ago,positive
Niloy Pal,3.0,good ambiance,7 years ago,positive
Arun Garodia,5.0,good,2 years ago,positive
Ashutosh Pandey,5.0,great place food service atmosphere food service atmosphere,7 months ago,positive
Star Containers (Goutam Bag),5.0,nice food,2 years ago,positive
Abhisek Chattopadhyay,4.0,costly normal people,4 years ago,negative
ankita goundalkar,4.0,food service brilliant,6 years ago,positive
Shreeja Sinha,4.0,bathroom upto mark,2 years ago,neutral
Dev Gupta,5.0,give tasty food,4 years ago,neutral
Shiv Malhotra,3.0,good expensive food,4 years ago,positive
Antony kiran soni,5.0,execellent place,7 months ago,neutral
Sulagna Ghosh,5.0,amazing place food,5 years ago,positive
Ashish Goenka,5.0,expensive great place,2 years ago,positive
Tanveer Khan,5.0,best place food service atmosphere food service atmosphere,7 months ago,positive
U.M.D Entertainment,5.0,delicious food food service atmosphere food service atmosphere,7 months ago,positive
Raja Reddy,5.0,great place,7 months ago,positive
sasank mouli,5.0,super,7 months ago,positive
Sujay Nag,5.0,excellent food service,3 years ago,positive
ravi teja,4.0,good place vegetarian option couple veg tried good parking enough space friendly staff,7 months ago,positive
tirthankar gupta,5.0,lovely food ambience,3 years ago,positive
Sk Mohammed Ali,3.0,nice place quick bite,6 years ago,positive
neha padiaa,4.0,awesome place,7 months ago,positive
PRATHAM GUPTA,4.0,pizza great,2 years ago,positive
Satyajit Sen,4.0,great food service atmosphere food service atmosphere,11 months ago,positive
Rijesh Janardhanan,5.0,place italian food,5 years ago,neutral
Sandeep Maskara,3.0,ambience service good,5 years ago,positive
Madhav Mohta,5.0,best pizza kolkata,5 years ago,positive
Eituparna Modak,4.0,pollo pizza n ice tea,4 years ago,neutral
Susnata Karmakar,3.0,highly overpriced opinion,4 years ago,neutral
Pavan Kumar,5.0,nice place food service atmosphere food service atmosphere,7 months ago,positive
Rajen Rajgarhia,4.0,excellent food service,3 years ago,positive
Rohit Bothra,5.0,amazing food service,4 years ago,positive
Yogesh Tiwari,4.0,interesting place,7 months ago,positive
Barbara Kysela,5.0,best italian place town,5 years ago,positive
rajesh kumar,5.0,food taste awesome,2 years ago,positive
Piyush Dhanuka,5.0,great place piazza,6 years ago,positive
Prashanth Raghavan,5.0,nice place,7 months ago,positive
Sukhwinder Singh Ghumman,5.0,nice place,7 months ago,positive
Vijay Bokadia,4.0,pizzeria quality,2 years ago,neutral
pratibha narayan,5.0,nice place,7 months ago,positive
Rishi Jain,5.0,awesom experience always,a year ago,neutral
Mihir Patel,5.0,nice place service service,7 months ago,positive
Santanu Bhattacharya,5.0,good quality food,4 years ago,positive
sujal shaha,5.0,nice place,7 months ago,positive
Srinath Kalbhairav,5.0,nice place,7 months ago,positive
Aadya Saraogi,5.0,real pizza amazing place,5 years ago,positive
shreya kajaria,3.0,nice plc,10 years ago,positive
aditya mohnot,5.0,go,5 years ago,neutral
Shubham Bhagat,4.0,really tasty delicacy,4 years ago,neutral
arvind nevatia,4.0,bit priced,5 years ago,neutral
Divya Jain,5.0,love ambience place,4 years ago,positive
Annabel Phelan,5.0,objectively delicious pizza,3 years ago,positive
Kalyani Bhowmick,5.0,nice food,4 years ago,positive
ARINDAM SARKAR,5.0,awesome pizza experience,2 years ago,positive
Praneeth D,3.0,tasty food food service atmosphere food service atmosphere,7 months ago,neutral
Dr Shoaib Mustafa,4.0,good one,4 years ago,positive
DND LOGAN,5.0,good,a year ago,positive
Mohit Mohit,5.0,good food,4 years ago,positive
Javed Raja,5.0,nice place area,2 years ago,positive
Dhirendra Doshi,4.0,nice,5 years ago,positive
Amol Shendre,4.0,good,3 years ago,positive
Amit Jalan,5.0,nice,2 years ago,positive
